,Year,Month,Type,From,To,Date,Player,Position,Transaction
2,2015,4,waivers,Buccaneers  Buccaneers,--,04/30,Jocquel Skinner,,"Terminated Via Waivers, all contracts"
3,2015,4,waivers,Niners  Niners,Niners  Niners,04/30,Fou Fonoti,,"Waived, No Recall"
4,2015,4,waivers,Niners  Niners,Niners  Niners,04/30,Lance Lewis,,"Waived, No Recall"
5,2015,4,waivers,Broncos  Broncos,--,04/29,Quanterus Smith,,"Terminated Via Waivers, all contracts"
6,2015,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,Jocquel Skinner,,"Waived, No Recall"
7,2015,4,waivers,Bengals  Bengals,Bengals  Bengals,04/29,L.J. Fort,,"Waived, No Recall"
8,2015,4,waivers,Packers  Packers,Packers  Packers,04/29,Aleric Mullins,,"Waived, No Recall"
9,2015,4,waivers,Bills  Bills,--,04/28,Jonte Green,,"Terminated Via Waivers, all contracts"
10,2015,4,waivers,Giants  Giants,--,04/28,Michael Cox,,"Terminated Via Waivers, all contracts"
11,2015,4,waivers,Bills  Bills,Bills  Bills,04/27,Jonte Green,,"Waived, No Recall"
12,2015,4,waivers,Broncos  Broncos,--,04/24,Kerry Taylor,,"Terminated Via Waivers, all contracts"
13,2015,4,waivers,Dolphins  Dolphins,--,04/23,Davonte Wallace,,"Terminated Via Waivers, all contracts"
14,2015,4,waivers,Broncos  Broncos,Broncos  Broncos,04/23,Kerry Taylor,,"Waived, No Recall"
15,2015,4,waivers,Chiefs  Chiefs,--,04/22,Shaquille Richardson,,"Terminated Via Waivers, all contracts"
16,2015,4,waivers,Chargers  Chargers,--,04/22,Alvin Scioneaux,,"Terminated Via Waivers, all contracts"
17,2015,4,waivers,Lions  Lions,--,04/22,Rodney Austin,,"Terminated Via Waivers, all contracts"
18,2015,4,waivers,Dolphins  Dolphins,Dolphins  Dolphins,04/22,Davonte Wallace,,"Waived, No Recall"
19,2015,4,waivers,Lions  Lions,Lions  Lions,04/21,Rodney Austin,,"Waived, No Recall"
20,2015,4,waivers,Chargers  Chargers,Chargers  Chargers,04/21,Alvin Scioneaux,,"Waived, No Recall"
21,2015,4,waivers,Seahawks  Seahawks,--,04/20,Luke Ingram,,"Terminated Via Waivers, all contracts"
22,2015,4,waivers,Buccaneers  Buccaneers,--,04/17,Chase Tenpenny,,"Terminated Via Waivers, all contracts"
23,2015,4,waivers,Seahawks  Seahawks,Seahawks  Seahawks,04/17,Luke Ingram,,"Waived, No Recall"
24,2015,4,waivers,Chiefs  Chiefs,Steelers  Steelers,04/17,Brandon Hartson,,Assigned via Waivers
0,2015,5,waivers,Buccaneers  Buccaneers,--,05/29,Ben Gottschalk,,"Terminated Via Waivers, all contracts"
1,2015,5,waivers,Jets  Jets,Bills  Bills,05/29,Matt Simms,,Assigned via Waivers
2,2015,5,waivers,Bills  Bills,Bills  Bills,05/29,Jeff Tuel,,"Waived, No Recall"
3,2015,5,waivers,Raiders  Raiders,--,05/28,Travell Dixon,,"Terminated Via Waivers, all contracts"
4,2015,5,waivers,Raiders  Raiders,--,05/28,Austin Hill,,"Terminated Via Waivers, all contracts"
5,2015,5,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,05/28,Ben Gottschalk,,"Waived, No Recall"
6,2015,5,waivers,Jets  Jets,Jets  Jets,05/28,Matt Simms,,"Waived, No Recall"
7,2015,5,waivers,Ravens  Ravens,Ravens  Ravens,05/28,Julian Wilson,,"Waived, Injured, Prior to Cut to 53"
8,2015,5,waivers,Browns  Browns,--,05/27,Calvin Barnett,,"Terminated Via Waivers, all contracts"
9,2015,5,waivers,Steelers  Steelers,--,05/27,L'Damian Washington,,"Terminated Via Waivers, all contracts"
10,2015,5,waivers,Raiders  Raiders,Raiders  Raiders,05/27,Travell Dixon,,"Waived, No Recall"
11,2015,5,waivers,Raiders  Raiders,Raiders  Raiders,05/27,Austin Hill,,"Waived, No Recall"
12,2015,5,waivers,Panthers  Panthers,--,05/26,Kimario McFadden,,"Terminated Via Waivers, all contracts"
13,2015,5,waivers,Colts  Colts,Colts  Colts,05/26,Josh Mitchell,,"Waived, Injured, Prior to Cut to 53"
14,2015,5,waivers,Cowboys  Cowboys,Cowboys  Cowboys,05/26,Chris Boyd,,"Waived, Injured, Prior to Cut to 53"
15,2015,5,waivers,Browns  Browns,Browns  Browns,05/26,Keith Pough,,"Waived, Injured, Prior to Cut to 53"
16,2015,5,waivers,Browns  Browns,Browns  Browns,05/26,Calvin Barnett,,"Waived, No Recall"
17,2015,5,waivers,Steelers  Steelers,Steelers  Steelers,05/26,L'Damian Washington,,"Waived, Injury Settlement"
18,2015,5,waivers,Panthers  Panthers,--,05/21,Edmund Kugbila,,"Terminated Via Waivers, all contracts"
19,2015,5,waivers,Panthers  Panthers,Panthers  Panthers,05/21,Kimario McFadden,,"Waived, No Recall"
20,2015,5,waivers,Colts  Colts,--,05/20,Josh Lenz,,"Terminated Via Waivers, all contracts"
21,2015,5,waivers,Chiefs  Chiefs,--,05/20,Manasseh Garner,,"Terminated Via Waivers, all contracts"
22,2015,5,waivers,Chiefs  Chiefs,--,05/20,Charles Sweeton,,"Terminated Via Waivers, all contracts"
23,2015,5,waivers,Chargers  Chargers,--,05/20,Bryce Quigley,,"Terminated Via Waivers, all contracts"
24,2015,5,waivers,Saints  Saints,Saints  Saints,05/20,Andy Tanner,,"Waived, Injured, Prior to Cut to 53"
0,2015,6,waivers,Eagles  Eagles,--,06/30,Cole Manhart,,"Terminated Via Waivers, all contracts"
1,2015,6,waivers,Cowboys  Cowboys,--,06/30,Chris Boyd,,"Terminated Via Waivers, all contracts"
2,2015,6,waivers,Cowboys  Cowboys,Cowboys  Cowboys,06/29,Chris Boyd,,"Waived, Injury Settlement"
3,2015,6,waivers,Eagles  Eagles,Eagles  Eagles,06/29,Cole Manhart,,"Waived, No Recall"
4,2015,6,waivers,Bills  Bills,--,06/24,Bryan Johnson,,"Terminated Via Waivers, all contracts"
5,2015,6,waivers,Browns  Browns,--,06/23,Landon Feichter,,"Terminated Via Waivers, all contracts"
6,2015,6,waivers,Bills  Bills,Bills  Bills,06/23,Bryan Johnson,,"Waived, No Recall"
7,2015,6,waivers,Titans  Titans,--,06/22,Taylor Thompson,,"Terminated Via Waivers, all contracts"
8,2015,6,waivers,Browns  Browns,--,06/22,Paul Browning,,"Terminated Via Waivers, all contracts"
9,2015,6,waivers,Bengals  Bengals,Browns  Browns,06/22,Terrelle Pryor,,Assigned via Waivers
10,2015,6,waivers,Browns  Browns,Browns  Browns,06/22,Landon Feichter,,"Waived, No Recall"
11,2015,6,waivers,Bears  Bears,--,06/19,Jacob Maxwell,,"Terminated Via Waivers, all contracts"
12,2015,6,waivers,Chiefs  Chiefs,--,06/19,Melvin Meggs,,"Terminated Via Waivers, all contracts"
13,2015,6,waivers,Packers  Packers,--,06/19,Travis Manning,,"Terminated Via Waivers, all contracts"
14,2015,6,waivers,Patriots  Patriots,--,06/19,Logan Stokes,,"Terminated Via Waivers, all contracts"
15,2015,6,waivers,Bears  Bears,--,06/19,Pat Devlin,,"Terminated Via Waivers, all contracts"
16,2015,6,waivers,Lions  Lions,--,06/19,Dwight Bentley,,"Terminated Via Waivers, all contracts"
17,2015,6,waivers,Bills  Bills,--,06/19,Merrill Noel,,"Terminated Via Waivers, all contracts"
18,2015,6,waivers,Chiefs  Chiefs,--,06/19,DeVante Bausby,,"Terminated Via Waivers, all contracts"
19,2015,6,waivers,Bengals  Bengals,Bengals  Bengals,06/19,Terrelle Pryor,,"Waived, No Recall"
20,2015,6,waivers,Titans  Titans,Titans  Titans,06/19,Taylor Thompson,,"Waived, No Recall"
21,2015,6,waivers,Falcons  Falcons,Browns  Browns,06/19,Shane Wynn,,Assigned via Waivers
22,2015,6,waivers,Browns  Browns,Browns  Browns,06/19,Paul Browning,,"Waived, No Recall"
23,2015,6,waivers,Broncos  Broncos,--,06/18,John Moffitt,,"Terminated Via Waivers, all contracts"
24,2015,6,waivers,Raiders  Raiders,--,06/18,Jeremy Gallon,,"Terminated Via Waivers, all contracts"
0,2015,7,waivers,Bengals  Bengals,Bengals  Bengals,07/31,Cobi Hamilton,,"Waived, No Recall"
1,2015,7,waivers,Titans  Titans,Titans  Titans,07/31,Terren Jones,,"Waived, No Recall"
2,2015,7,waivers,Giants  Giants,Giants  Giants,07/31,Ben Edwards,,"Waived, Injured, Prior to Cut to 53"
3,2015,7,waivers,Chiefs  Chiefs,--,07/30,Cyrus Gray,,"Terminated Via Waivers, all contracts"
4,2015,7,waivers,Cardinals  Cardinals,--,07/30,Alfonzo Dennard,,"Terminated Via Waivers, all contracts"
5,2015,7,waivers,Buccaneers  Buccaneers,--,07/30,Deshazor Everett,,"Terminated Via Waivers, all contracts"
6,2015,7,waivers,Buccaneers  Buccaneers,--,07/30,Derrick Wells,,"Terminated Via Waivers, all contracts"
7,2015,7,waivers,Browns  Browns,--,07/29,Micah Pellerin,,"Terminated Via Waivers, all contracts"
8,2015,7,waivers,Panthers  Panthers,--,07/29,Darrin Reaves,,"Terminated Via Waivers, all contracts"
9,2015,7,waivers,Jets  Jets,--,07/29,Andrew Furney,,"Terminated Via Waivers, all contracts"
10,2015,7,waivers,Bears  Bears,--,07/29,Jonathan Brown,,"Terminated Via Waivers, all contracts"
11,2015,7,waivers,Bills  Bills,--,07/29,Deon Broomfield,,"Terminated Via Waivers, all contracts"
12,2015,7,waivers,Chiefs  Chiefs,Chiefs  Chiefs,07/29,Cyrus Gray,,"Waived, No Recall"
13,2015,7,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,07/29,Deshazor Everett,,"Waived, No Recall"
14,2015,7,waivers,Ravens  Ravens,Ravens  Ravens,07/29,Cam Worthy,,"Waived, Injured, Prior to Cut to 53"
15,2015,7,waivers,Cardinals  Cardinals,Cardinals  Cardinals,07/29,Alfonzo Dennard,,"Waived, No Recall"
16,2015,7,waivers,Colts  Colts,--,07/28,Will Corbin,,"Terminated Via Waivers, all contracts"
17,2015,7,waivers,Dolphins  Dolphins,--,07/28,Nigel King,,"Terminated Via Waivers, all contracts"
18,2015,7,waivers,Bears  Bears,Bears  Bears,07/28,Jonathan Brown,,"Waived, No Recall"
19,2015,7,waivers,Cowboys  Cowboys,Cowboys  Cowboys,07/28,Cameron Lawrence,,"Waived, Injured, Prior to Cut to 53"
20,2015,7,waivers,Cowboys  Cowboys,Cowboys  Cowboys,07/28,Ryan Miller,,"Waived, Injured, Prior to Cut to 53"
21,2015,7,waivers,Jets  Jets,Jets  Jets,07/28,Andrew Furney,,"Waived, No Recall"
22,2015,7,waivers,Bengals  Bengals,Bengals  Bengals,07/28,James Wright,,"Waived, Injured, Prior to Cut to 53"
23,2015,7,waivers,Bills  Bills,Bills  Bills,07/28,Deon Broomfield,,"Waived, No Recall"
24,2015,7,waivers,Browns  Browns,Browns  Browns,07/28,Micah Pellerin,,"Waived, No Recall"
0,2015,8,waivers,Raiders  Raiders,--,08/31,Jonathan Dowling,,"Terminated Via Waivers, all contracts"
1,2015,8,waivers,Broncos  Broncos,--,08/31,Solomon Patton,,"Terminated Via Waivers, all contracts"
2,2015,8,waivers,Steelers  Steelers,--,08/31,Ross Scheuerman,,"Terminated Via Waivers, all contracts"
3,2015,8,waivers,Raiders  Raiders,--,08/31,Quinterrius Eatmon,,"Terminated Via Waivers, all contracts"
4,2015,8,waivers,Jets  Jets,--,08/31,Jake Heaps,,"Terminated Via Waivers, all contracts"
5,2015,8,waivers,Giants  Giants,--,08/31,Tony Johnson,,"Terminated Via Waivers, all contracts"
6,2015,8,waivers,Cardinals  Cardinals,--,08/31,Ross Weaver,,"Terminated Via Waivers, all contracts"
7,2015,8,waivers,Jaguars  Jaguars,--,08/31,Brennan Williams,,"Terminated Via Waivers, all contracts"
8,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Mister Alexander,,"Waived, No Recall"
9,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Cody Booth,,"Waived, No Recall"
10,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Desmond Cooper,,"Waived, No Recall"
11,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Eric Crume,,"Waived, No Recall"
12,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Khairi Fortt,,"Waived, No Recall"
13,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Connor Hamlett,,"Waived, No Recall"
14,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Kasey Redfern,,"Waived, No Recall"
15,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Jack Rummells,,"Waived, No Recall"
16,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Jeff Tuel,,"Waived, No Recall"
17,2015,8,waivers,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Greg Jenkins,,"Waived, Injured, Prior to Cut to 53"
18,2015,8,waivers,Chiefs  Chiefs,Chiefs  Chiefs,08/31,Kenny Cook,,"Waived, No Recall"
19,2015,8,waivers,Chiefs  Chiefs,Chiefs  Chiefs,08/31,Anthony Dima,,"Waived, No Recall"
20,2015,8,waivers,Chiefs  Chiefs,Chiefs  Chiefs,08/31,Andrew East,,"Waived, No Recall"
21,2015,8,waivers,Chiefs  Chiefs,Chiefs  Chiefs,08/31,Aaron Hester,,"Waived, No Recall"
22,2015,8,waivers,Chiefs  Chiefs,Chiefs  Chiefs,08/31,Kenneth Penny,,"Waived, No Recall"
23,2015,8,waivers,Chiefs  Chiefs,Chiefs  Chiefs,08/31,Marcus Reed,,"Waived, No Recall"
24,2015,8,waivers,Chiefs  Chiefs,Chiefs  Chiefs,08/31,Adam Schiltz,,"Waived, No Recall"
0,2015,9,waivers,Rams  Rams,--,09/30,Isaiah Pead,,"Terminated Via Waivers, all contracts"
1,2015,9,waivers,Patriots  Patriots,--,09/30,Travaris Cadet,,"Terminated Via Waivers, all contracts"
2,2015,9,waivers,Colts  Colts,--,09/30,Eric Patterson,,"Terminated Via Waivers, all contracts"
3,2015,9,waivers,Chargers  Chargers,--,09/30,Kyle Miller,,"Terminated Via Waivers, all contracts"
4,2015,9,waivers,Texans  Texans,--,09/30,Randy Bullock,,"Terminated Via Waivers, all contracts"
5,2015,9,waivers,Buccaneers  Buccaneers,--,09/30,Mike James,,"Terminated Via Waivers, all contracts"
6,2015,9,waivers,Bears  Bears,--,09/30,Brock Vereen,,"Terminated Via Waivers, all contracts"
7,2015,9,waivers,Vikings  Vikings,--,09/30,Gavin Lutman,,"Terminated Via Waivers, all contracts"
8,2015,9,waivers,Steelers  Steelers,Steelers  Steelers,09/30,Caushaud Lyons,,"Waived, No Recall"
9,2015,9,waivers,Jets  Jets,Jets  Jets,09/30,Deon Simon,,"Waived, No Recall"
10,2015,9,waivers,Raiders  Raiders,--,09/29,Anthony Morris,,"Terminated Via Waivers, all contracts"
11,2015,9,waivers,Jets  Jets,--,09/29,Ronald Martin,,"Terminated Via Waivers, all contracts"
12,2015,9,waivers,Chargers  Chargers,--,09/29,Gordon Hill,,"Terminated Via Waivers, all contracts"
13,2015,9,waivers,Giants  Giants,--,09/29,Chris Harper,,"Terminated Via Waivers, all contracts"
14,2015,9,waivers,Cowboys  Cowboys,--,09/29,Davon Coleman,,"Terminated Via Waivers, all contracts"
15,2015,9,waivers,Patriots  Patriots,Patriots  Patriots,09/29,Travaris Cadet,,"Waived, No Recall"
16,2015,9,waivers,Vikings  Vikings,Vikings  Vikings,09/29,Gavin Lutman,,"Waived, No Recall"
17,2015,9,waivers,Chargers  Chargers,Chargers  Chargers,09/29,Kyle Miller,,"Waived, No Recall"
18,2015,9,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,09/29,Mike James,,"Waived, No Recall"
19,2015,9,waivers,Rams  Rams,Rams  Rams,09/29,Isaiah Pead,,"Waived, No Recall"
20,2015,9,waivers,Bears  Bears,Bears  Bears,09/29,Brock Vereen,,"Waived, No Recall"
21,2015,9,waivers,Colts  Colts,Colts  Colts,09/29,Eric Patterson,,"Waived, No Recall"
22,2015,9,waivers,Texans  Texans,Texans  Texans,09/29,Randy Bullock,,"Waived, No Recall"
23,2015,9,waivers,Cowboys  Cowboys,--,09/28,Rod Sweeting,,"Terminated Via Waivers, all contracts"
24,2015,9,waivers,Bears  Bears,--,09/28,Lavar Edwards,,"Terminated Via Waivers, all contracts"
0,2015,10,waivers,Giants  Giants,Giants  Giants,10/31,Brandon McGee,,"Waived, No Recall"
1,2015,10,waivers,Raiders  Raiders,Raiders  Raiders,10/31,Shelby Harris,,"Waived, No Recall"
2,2015,10,waivers,Niners  Niners,Niners  Niners,10/31,Jarryd Hayne,,"Waived, No Recall"
3,2015,10,waivers,Texans  Texans,--,10/30,Mike McFarland,,"Terminated Via Waivers, all contracts"
4,2015,10,waivers,Saints  Saints,Saints  Saints,10/30,Trevor Graham,,"Waived, No Recall"
5,2015,10,waivers,Jaguars  Jaguars,--,10/29,James-Michael Johnson,,"Terminated Via Waivers, all contracts"
6,2015,10,waivers,Texans  Texans,Texans  Texans,10/29,Mike McFarland,,"Waived, Injury Settlement"
7,2015,10,waivers,Seahawks  Seahawks,--,10/28,B.J. Daniels,,"Terminated Via Waivers, all contracts"
8,2015,10,waivers,Jaguars  Jaguars,Jaguars  Jaguars,10/28,James-Michael Johnson,,"Waived, No Recall"
9,2015,10,waivers,Colts  Colts,Patriots  Patriots,10/28,Dewey McDonald,,Assigned via Waivers
10,2015,10,waivers,Titans  Titans,--,10/27,Rico Richardson,,"Terminated Via Waivers, all contracts"
11,2015,10,waivers,Saints  Saints,--,10/27,Sammy Seamster,,"Terminated Via Waivers, all contracts"
12,2015,10,waivers,Chargers  Chargers,--,10/27,Chris Davis,,"Terminated Via Waivers, all contracts"
13,2015,10,waivers,Ravens  Ravens,--,10/27,Terrence Magee,,"Terminated Via Waivers, all contracts"
14,2015,10,waivers,Colts  Colts,Colts  Colts,10/27,Dewey McDonald,,"Waived, No Recall"
15,2015,10,waivers,Seahawks  Seahawks,Seahawks  Seahawks,10/27,B.J. Daniels,,"Waived, No Recall"
16,2015,10,waivers,Bills  Bills,--,10/26,Josh Bush,,"Terminated Via Waivers, all contracts"
17,2015,10,waivers,Rams  Rams,--,10/26,Christian Bryant,,"Terminated Via Waivers, all contracts"
18,2015,10,waivers,Raiders  Raiders,--,10/26,Tevin McDonald,,"Terminated Via Waivers, all contracts"
19,2015,10,waivers,Saints  Saints,--,10/26,Trevor Graham,,"Terminated Via Waivers, all contracts"
20,2015,10,waivers,Buccaneers  Buccaneers,--,10/26,Jeremiah Warren,,"Terminated Via Waivers, all contracts"
21,2015,10,waivers,Lions  Lions,--,10/26,Ishmaa'ily Kitchen,,"Terminated Via Waivers, all contracts"
22,2015,10,waivers,Ravens  Ravens,Ravens  Ravens,10/26,Terrence Magee,,"Waived, No Recall"
23,2015,10,waivers,Saints  Saints,Saints  Saints,10/26,Sammy Seamster,,"Waived, No Recall"
24,2015,10,waivers,Chargers  Chargers,Chargers  Chargers,10/26,Chris Davis,,"Waived, No Recall"
0,2015,11,waivers,Bears  Bears,--,11/30,Thomas Gafford,,"Terminated Via Waivers, all contracts"
1,2015,11,waivers,Panthers  Panthers,--,11/30,Danny Aiken,,"Terminated Via Waivers, all contracts"
2,2015,11,waivers,Steelers  Steelers,--,11/30,Isaiah Pead,,"Terminated Via Waivers, all contracts"
3,2015,11,waivers,Chiefs  Chiefs,--,11/30,Saalim Hakim,,"Terminated Via Waivers, all contracts"
4,2015,11,waivers,Titans  Titans,--,11/30,Rico Richardson,,"Terminated Via Waivers, all contracts"
5,2015,11,waivers,Patriots  Patriots,--,11/30,Eric Martin,,"Terminated Via Waivers, all contracts"
6,2015,11,waivers,Dolphins  Dolphins,--,11/30,Mike Hull,,"Terminated Via Waivers, all contracts"
7,2015,11,waivers,Seahawks  Seahawks,--,11/30,Bryce Brown,,"Terminated Via Waivers, all contracts"
8,2015,11,waivers,Rams  Rams,--,11/30,Justice Cunningham,,"Terminated Via Waivers, all contracts"
9,2015,11,waivers,Patriots  Patriots,--,11/30,Dewey McDonald,,"Terminated Via Waivers, all contracts"
10,2015,11,waivers,Ravens  Ravens,Ravens  Ravens,11/30,Chuck Jacobs,,"Waived, No Recall"
11,2015,11,waivers,Bengals  Bengals,Bengals  Bengals,11/30,Sean Porter,,"Waived, No Recall"
12,2015,11,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,11/30,Kimario McFadden,,"Waived, No Recall"
13,2015,11,waivers,Patriots  Patriots,Patriots  Patriots,11/30,Chris Harper,,"Waived, No Recall"
14,2015,11,waivers,Bills  Bills,Bills  Bills,11/30,A.J. Tarpley,,"Waived, No Recall"
15,2015,11,waivers,Eagles  Eagles,Eagles  Eagles,11/30,Julian Vandervelde,,"Waived, No Recall"
16,2015,11,waivers,Cowboys  Cowboys,Cowboys  Cowboys,11/30,Trey Williams,,"Waived, No Recall"
17,2015,11,waivers,Patriots  Patriots,Patriots  Patriots,11/28,Dewey McDonald,,"Waived, No Recall"
18,2015,11,waivers,Bears  Bears,Bears  Bears,11/28,Thomas Gafford,,"Waived, No Recall"
19,2015,11,waivers,Dolphins  Dolphins,Dolphins  Dolphins,11/28,Mike Hull,,"Waived, No Recall"
20,2015,11,waivers,Rams  Rams,Rams  Rams,11/28,Justice Cunningham,,"Waived, No Recall"
21,2015,11,waivers,Chiefs  Chiefs,Chiefs  Chiefs,11/28,Saalim Hakim,,"Waived, No Recall"
22,2015,11,waivers,Titans  Titans,Titans  Titans,11/28,Rico Richardson,,"Waived, No Recall"
23,2015,11,waivers,Seahawks  Seahawks,Seahawks  Seahawks,11/28,Bryce Brown,,"Waived, No Recall"
24,2015,11,waivers,Falcons  Falcons,--,11/27,Joplo Bartu,,"Terminated Via Waivers, all contracts"
0,2015,12,waivers,Browns  Browns,Browns  Browns,12/31,Jayson DiManche,,"Waived, No Recall"
1,2015,12,waivers,Patriots  Patriots,Rams  Rams,12/31,Troy Hill,,Assigned via Waivers
2,2015,12,waivers,Broncos  Broncos,--,12/30,Shaun Prater,,"Terminated Via Waivers, all contracts"
3,2015,12,waivers,Packers  Packers,--,12/30,Jermauria Rasco,,"Terminated Via Waivers, all contracts"
4,2015,12,waivers,Chargers  Chargers,--,12/30,Vincent Brown,,"Terminated Via Waivers, all contracts"
5,2015,12,waivers,Lions  Lions,--,12/30,Dwight Bentley,,"Terminated Via Waivers, all contracts"
6,2015,12,waivers,Cardinals  Cardinals,--,12/30,Cariel Brooks,,"Terminated Via Waivers, all contracts"
7,2015,12,waivers,Patriots  Patriots,Patriots  Patriots,12/30,Troy Hill,,"Waived, No Recall"
8,2015,12,waivers,Redskins  Redskins,Niners  Niners,12/30,Je'Ron Hamm,,Assigned via Waivers
9,2015,12,waivers,Panthers  Panthers,--,12/29,Wes Horton,,"Terminated Via Waivers, all contracts"
10,2015,12,waivers,Patriots  Patriots,--,12/29,Joey Iosefa,,"Terminated Via Waivers, all contracts"
11,2015,12,waivers,Browns  Browns,--,12/29,Daryl Richardson,,"Terminated Via Waivers, all contracts"
12,2015,12,waivers,Lions  Lions,Lions  Lions,12/29,Dwight Bentley,,"Waived, No Recall"
13,2015,12,waivers,Cardinals  Cardinals,Cardinals  Cardinals,12/29,Cariel Brooks,,"Waived, Injury Settlement"
14,2015,12,waivers,Chargers  Chargers,Chargers  Chargers,12/29,Vincent Brown,,"Waived, No Recall"
15,2015,12,waivers,Packers  Packers,Packers  Packers,12/29,Jermauria Rasco,,"Waived, No Recall"
16,2015,12,waivers,Broncos  Broncos,Broncos  Broncos,12/29,Shaun Prater,,"Waived, No Recall"
17,2015,12,waivers,Redskins  Redskins,Redskins  Redskins,12/29,Je'Ron Hamm,,"Waived, No Recall"
18,2015,12,waivers,Saints  Saints,--,12/28,Tony Carter,,"Terminated Via Waivers, all contracts"
19,2015,12,waivers,Dolphins  Dolphins,--,12/28,Jordan Williams,,"Terminated Via Waivers, all contracts"
20,2015,12,waivers,Browns  Browns,Browns  Browns,12/28,Daryl Richardson,,"Waived, No Recall"
21,2015,12,waivers,Panthers  Panthers,Panthers  Panthers,12/28,Wes Horton,,"Waived, No Recall"
22,2015,12,waivers,Patriots  Patriots,Patriots  Patriots,12/28,Joey Iosefa,,"Waived, No Recall"
23,2015,12,waivers,Patriots  Patriots,Chargers  Chargers,12/28,Asante Cleveland,,Assigned via Waivers
24,2015,12,waivers,Patriots  Patriots,Bills  Bills,12/28,Leonard Hankerson,,Assigned via Waivers
0,2016,1,waivers,Redskins  Redskins,Redskins  Redskins,01/05,Brian De La Puente,,"Waived, No Recall"
1,2016,1,waivers,Colts  Colts,--,01/02,Griff Whalen,,"Terminated Via Waivers, all contracts"
2,2016,1,waivers,Chargers  Chargers,--,01/02,Torrence Allen,,"Terminated Via Waivers, all contracts"
3,2016,1,waivers,Steelers  Steelers,--,01/02,Jacoby Jones,,"Terminated Via Waivers, all contracts"
4,2016,1,waivers,Chargers  Chargers,--,01/02,Ben Beckwith,,"Terminated Via Waivers, all contracts"
5,2016,1,waivers,Browns  Browns,--,01/01,Jayson DiManche,,"Terminated Via Waivers, all contracts"
6,2016,1,waivers,Colts  Colts,Colts  Colts,01/01,Griff Whalen,,"Waived, No Recall"
7,2016,1,waivers,Steelers  Steelers,Steelers  Steelers,01/01,Jacoby Jones,,"Waived, No Recall"
8,2016,1,waivers,Chargers  Chargers,Chargers  Chargers,01/01,Torrence Allen,,"Waived, No Recall"
9,2016,1,waivers,Chargers  Chargers,Chargers  Chargers,01/01,Ben Beckwith,,"Waived, No Recall"
0,2016,2,waivers,49ers  49ers,--,02/23,Brian Leonhardt,,"Terminated Via Waivers, all contracts"
1,2016,2,waivers,Dolphins  Dolphins,--,02/23,Dax Swanson,,"Terminated Via Waivers, all contracts"
2,2016,2,waivers,Colts  Colts,--,02/23,Jonathan Newsome,,"Terminated Via Waivers, all contracts"
3,2016,2,waivers,Browns  Browns,--,02/23,Luke Lundy,,"Terminated Via Waivers, all contracts"
4,2016,2,waivers,Chiefs  Chiefs,--,02/22,Tavon Rooks,,"Terminated Via Waivers, all contracts"
5,2016,2,waivers,Colts  Colts,Colts  Colts,02/22,Jonathan Newsome,,"Waived, No Recall"
6,2016,2,waivers,Browns  Browns,Browns  Browns,02/22,Luke Lundy,,"Waived, No Recall"
7,2016,2,waivers,Dolphins  Dolphins,Dolphins  Dolphins,02/22,Dax Swanson,,"Waived, No Recall"
8,2016,2,waivers,49ers  49ers,49ers  49ers,02/22,Brian Leonhardt,,"Waived, No Recall"
9,2016,2,waivers,Jets  Jets,--,02/19,Kyle Brindza,,"Terminated Via Waivers, all contracts"
10,2016,2,waivers,Falcons  Falcons,--,02/17,Travis Howard,,"Terminated Via Waivers, all contracts"
11,2016,2,waivers,Steelers  Steelers,--,02/17,Kelvin Palmer,,"Terminated Via Waivers, all contracts"
12,2016,2,waivers,Falcons  Falcons,--,02/17,Collin Mooney,,"Terminated Via Waivers, all contracts"
13,2016,2,waivers,Steelers  Steelers,--,02/17,Mitchell Van Dyk,,"Terminated Via Waivers, all contracts"
14,2016,2,waivers,Steelers  Steelers,--,02/17,Rob Blanchflower,,"Terminated Via Waivers, all contracts"
15,2016,2,waivers,Falcons  Falcons,Falcons  Falcons,02/16,Collin Mooney,,"Waived, No Recall"
16,2016,2,waivers,Falcons  Falcons,Falcons  Falcons,02/16,Travis Howard,,"Waived, No Recall"
17,2016,2,waivers,Broncos  Broncos,--,02/11,Jace Davis,,"Terminated Via Waivers, all contracts"
18,2016,2,waivers,Colts  Colts,--,02/10,Ryan Lindley,,"Terminated Via Waivers, all contracts"
