Team,Name,Position,College,Vet
Chicago Bears,Lachlan Wilson,P,California,
Chicago Bears,Matthew Downing,QB,Elon,
Chicago Bears,Christian Grubb,RB,Portland State,
Chicago Bears,Bryquice Browns,DB,Boston College,
Chicago Bears,Sheldon Arnold II,DB,Central Florida,
Chicago Bears,Jeremiah Walker,DB,Stephen F. Austin,
Chicago Bears,Jordan Mahoney,DB,Arkansas State,
Chicago Bears,Bryan Addison,DB,UCLA,
Chicago Bears,Devin Kirkwood,DB,UCLA,
Chicago Bears,Isaiah Greene,DB,Campbell,
Chicago Bears,Reggie Brown,TE,Tulane,
Chicago Bears,Michael Batton,LB,Houston,
Chicago Bears,Thomas Gordon,TE,Northwestern,
Chicago Bears,Sebastian Pares,OL,Eastern Illinois,
Chicago Bears,Vershon Lee,OL,South Carolina,
Chicago Bears,Vincent Murphy,OL,Tulane,
Chicago Bears,Brayden Keim,OL,BYU,
Chicago Bears,Emmit Bohle,OL,Arizona State,
Chicago Bears,Jeremiah Hunter,WR,Washington,
Chicago Bears,Dominick Mazotti,TE,Massachusetts-Amherst,
Chicago Bears,Giovanni Paez,DL,LSU,
Chicago Bears,Nana Asare Osafo-Mensah,DL,TCU,
Chicago Bears,Cole Nelson,DL,Virginia Tech,
Cleveland Browns,Peter Montini,FB,Colorado State,
Cleveland Browns,Kisean Johnson,WR,Western Kentucky,
Cleveland Browns,Zach Patterson,WR,Central Missouri State,
Cleveland Browns,Cade McDonald,WR,Miami (OH),
Cleveland Browns,Malcolm Johnson,WR,Bowling Green,
Cleveland Browns,Luke Floriea,WR,Kent State,
Cleveland Browns,Jabre Barber,WR,Texas A&M,
Cleveland Browns,John Samuel Shenker,TE,Auburn,
Cleveland Browns,Deontay Campbell,TE,Missouri Southern State,
Cleveland Browns,Keshawn Toney,TE,South Carolina State,
Cleveland Browns,Mitch Van Vooren,TE,St. Norbert,
Cleveland Browns,Cam’Ron Johnson,OG,Missouri,
Cleveland Browns,John Pius,DE,Wisconsin,
Cleveland Browns,Davin Vann,DE,North Carolina State,
Cleveland Browns,Ty Wise,LB,Miami (OH),
Cleveland Browns,Donald Willis,LB,Western Michigan,
Cleveland Browns,Matt Hudson,LB,Memphis,
Cleveland Browns,Macklin Ayers,LB,Massachusetts-Amherst,
Cleveland Browns,Tahveon Nicholson,CB,Louisville,
Cleveland Browns,Jordan Wright,CB,Connecticut,
Cleveland Browns,Christian Ais,CB,New Haven,
Cleveland Browns,Austin McKinney,CB,Northwest Missouri State,
Cleveland Browns,Iverson Brown,S,Southern Illionois,
Cleveland Browns,Joseph Charleston,S,Missouri,
Cleveland Browns,Michael Hughes,K,Appalachian State,
Cleveland Browns,Avery Brook,P,Akron,
Denver Broncos,C.J. Baskerville,S,Texas Tech,
Denver Broncos,Henry Blackburn,S,Colorado State,
Denver Broncos,Kolby Borders,C/G,Miami (OH),
Denver Broncos,Ty Bowman,WR,Kansas State,
Denver Broncos,Brandon Casey,T/G,Montana,
Denver Broncos,Gabe Clark,G/T,Central Missouri,
Denver Broncos,Shane Cokes,DL,Colorado,
Denver Broncos,Cameron Cooper,G,Lindenwood,
Denver Broncos,Wyett Ekeler,S,Wyoming,
Denver Broncos,Owen Goss,S,Arizona,
Denver Broncos,Michael Harrison,TE,San Diego State,
Denver Broncos,Christian Johnstone,LS,Appalachian State,
Denver Broncos,Zach Kennedy,DL,UC Davis,
Denver Broncos,Justin Mayers,G,Colorado,
Denver Broncos,Max McLeod,WR,Colorado School of Mines,
Denver Broncos,Gavin Pringle,CB,Georgia State,
Denver Broncos,Makeah Scippio,OLB,CSU-Pueblo,
Denver Broncos,M.J. Sherman,OLB,Nebraska,
Denver Broncos,Elijah Spencer,WR,Minnesota,
